nohup: ignoring input
2025-01-07T15:39:16 (svs.sh:211:main) ./svs.sh --lang zh --local_data_opts --stage 1 --feats_type raw --fs 24000 --fmax 22050 --fmin 0 --n_fft 2048 --n_shift 256 --win_length 2048 --token_type phn --g2p None --cleaner none --train_config conf/train.yaml --inference_config conf/decode.yaml --train_set tr_no_dev --valid_set dev --test_sets dev eval --score_feats_extract syllable_score_feats --srctexts data/tr_no_dev/text --audio_format wav --stage 8 --stop_stage 10 --svs_task gan_svs --pitch_extract dio --feats_extract fbank --feats_normalize none --train_config conf/train.yaml --score_feats_extract syllable_score_feats --inference_model latest.pth --write_collected_feats true
2025-01-07T15:39:17 (svs.sh:1070:main) Stage 8: Scoring
2025-01-07T15:39:17 (svs.sh:1081:main) Begin Scoring for MCD metrics on dev, results are written under exp/svs_train_raw_phn_None_zh/decode_latest/dev/MCD_res
2025-01-07 15:39:34,556 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_BreathyGroup_0000 7.8072
2025-01-07 15:39:34,851 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Glissando_大鱼_ControlGroup_0002 6.8007
2025-01-07 15:39:35,089 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Pharyngeal_大鱼_ControlGroup_0001 7.2443
2025-01-07 15:39:35,351 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_BreathyGroup_0007 10.5714
2025-01-07 15:39:36,021 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Pharyngeal_曹操_ControlGroup_0002 7.1629
2025-01-07 15:39:36,060 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Mixed_Voice_and_Falsetto_曹操_ControlGroup_0007 7.0412
2025-01-07 15:39:36,140 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Mixed_Voice_and_Falsetto_曹操_ControlGroup_0002 7.6565
2025-01-07 15:39:36,163 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Pharyngeal_曹操_ControlGroup_0007 7.7897
2025-01-07 15:39:36,360 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Glissando_大鱼_ControlGroup_0008 5.6502
2025-01-07 15:39:36,974 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_ControlGroup_0005 5.7952
