nohup: ignoring input
2025-02-10T18:02:24 (svs.sh:211:main) ./svs.sh --lang zh --local_data_opts --stage 1 --feats_type raw --fs 24000 --fmax 22050 --fmin 0 --n_fft 2048 --n_shift 256 --win_length 2048 --token_type phn --g2p None --cleaner none --train_config conf/tuning/train_visinger2_24k.yaml --inference_config conf/decode.yaml --train_set tr_no_dev --valid_set dev --test_sets dev eval --score_feats_extract syllable_score_feats --srctexts data/tr_no_dev/text --audio_format wav --stage 7 --svs_task gan_svs --pitch_extract dio --feats_extract fbank --feats_normalize none --score_feats_extract syllable_score_feats --inference_model latest.pth --write_collected_feats true
2025-02-10T18:02:25 (svs.sh:912:main) Stage 7: Decoding: training_dir=exp/svs_train_visinger2_24k_raw_phn_None_zh
2025-02-10T18:02:25 (svs.sh:952:main) Generate 'exp/svs_train_visinger2_24k_raw_phn_None_zh/decode_latest/run.sh'. You can resume the process from stage 7 using this script
2025-02-10T18:02:25 (svs.sh:1009:main) Decoding started... log: 'exp/svs_train_visinger2_24k_raw_phn_None_zh/decode_latest/dev/log/svs_inference.*.log'
2025-02-10T18:04:20 (svs.sh:1009:main) Decoding started... log: 'exp/svs_train_visinger2_24k_raw_phn_None_zh/decode_latest/eval/log/svs_inference.*.log'
2025-02-10T18:07:33 (svs.sh:1069:main) Stage 8: Scoring
2025-02-10T18:07:33 (svs.sh:1079:main) Begin Scoring for MCD metrics on dev, results are written under exp/svs_train_visinger2_24k_raw_phn_None_zh/decode_latest/dev/MCD_res
2025-02-10 18:07:45,992 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Vibrato_大鱼_ControlGroup_0005 9.9255
2025-02-10 18:07:46,598 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Glissando_曹操_ControlGroup_0001 11.3227
2025-02-10 18:07:46,611 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Breathy_不再见_BreathyGroup_0002 10.4806
2025-02-10 18:07:46,656 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Pharyngeal_大鱼_ControlGroup_0008 10.4968
2025-02-10 18:07:47,127 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Pharyngeal_大鱼_ControlGroup_0001 9.8763
2025-02-10 18:07:47,148 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Glissando_大鱼_ControlGroup_0002 9.4772
2025-02-10 18:07:47,478 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_BreathyGroup_0000 9.3497
2025-02-10 18:07:47,797 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_BreathyGroup_0007 9.5485
2025-02-10 18:07:48,309 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Mixed_Voice_and_Falsetto_曹操_ControlGroup_0007 10.1837
2025-02-10 18:07:48,423 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Pharyngeal_曹操_ControlGroup_0007 10.1287
2025-02-10 18:07:48,622 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Glissando_大鱼_ControlGroup_0008 8.5173
2025-02-10 18:07:48,762 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Pharyngeal_曹操_ControlGroup_0002 10.2747
2025-02-10 18:07:48,831 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Mixed_Voice_and_Falsetto_曹操_ControlGroup_0002 10.4713
2025-02-10 18:07:49,193 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Vibrato_不再见_ControlGroup_0003 9.1650
2025-02-10 18:07:49,268 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_ControlGroup_0005 8.8283
2025-02-10 18:07:50,000 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Vibrato_不再见_ControlGroup_0011 8.5305
