nohup: ignoring input
2025-01-15T17:16:16 (svs2.sh:249:main) ./svs2.sh --lang zh --stage 1 --stop_stage 9 --local_data_opts --stage 0 --feats_type raw --pitch_extract dio --fs 16000 --fmax 7600 --fmin 80 --n_fft 2048 --n_shift 320 --win_length 1200 --token_type phn --g2p none --cleaner none --preset_layer none --preset_token none --train_config conf/tuning/ --inference_config conf/tuning/decode.yaml --gpu_inference true --train_set tr_no_dev --valid_set dev --test_sets test --score_feats_extract syllable_score_feats --srctexts data/tr_no_dev/text --RVQ_layers 1 --kmeans_opts --batch_bins 4800000 --kmeans_feature wavlm_large/6 --multi_token  --mix_type frame --nclusters 128 --RVQ_layers 1 --ngpu 1 --stage 8 --train_config conf/tuning/train_toksing.yaml --mix_type frame --vocoder_file /data5/arllan/ParallelWaveGAN/egs/opencpop/token_voc1/exp/train_opencpop_hifigan_token_16k_nodp_f0.v1/checkpoint-250000steps.pkl
2025-01-15T17:16:17 (svs2.sh:1130:main) Stage 8: Decoding: training_dir=exp/svs_train_toksing_raw_phn_none_zh
2025-01-15T17:16:17 (svs2.sh:1170:main) Generate 'exp/svs_train_toksing_raw_phn_none_zh/decode_valid.loss.best/run.sh'. You can resume the process from stage 8 using this script
2025-01-15T17:16:17 (svs2.sh:1241:main) Decoding started... log: 'exp/svs_train_toksing_raw_phn_none_zh/decode_valid.loss.best/test/log/svs_inference.*.log'
2025-01-15T17:18:00 (svs2.sh:1337:main) Stage 9: Scoring
2025-01-15T17:18:00 (svs2.sh:1348:main) Begin Scoring for token accuracy on test, results are written under exp/svs_train_toksing_raw_phn_none_zh/decode_valid.loss.best/test/Accuracy_res
2025-01-15T17:18:00 (svs2.sh:1360:main) Begin Scoring for MCD metrics on test, results are written under exp/svs_train_toksing_raw_phn_none_zh/decode_valid.loss.best/test/MCD_res
2025-01-15 17:18:06,870 (evaluate_mcd:171) INFO: opencpop_2044001631 8.4548
2025-01-15 17:18:07,009 (evaluate_mcd:171) INFO: opencpop_2044001657 9.1219
2025-01-15 17:18:07,028 (evaluate_mcd:171) INFO: opencpop_2093003455 8.8857
2025-01-15 17:18:07,103 (evaluate_mcd:171) INFO: opencpop_2093003468 8.8853
2025-01-15 17:18:07,112 (evaluate_mcd:171) INFO: opencpop_2100003737 10.4362
2025-01-15 17:18:07,120 (evaluate_mcd:171) INFO: opencpop_2044001644 8.5818
2025-01-15 17:18:07,135 (evaluate_mcd:171) INFO: opencpop_2100003724 11.0762
2025-01-15 17:18:07,198 (evaluate_mcd:171) INFO: opencpop_2092003441 11.7421
2025-01-15 17:18:07,207 (evaluate_mcd:171) INFO: opencpop_2100003748 10.2970
2025-01-15 17:18:07,316 (evaluate_mcd:171) INFO: opencpop_2086003184 7.2223
2025-01-15 17:18:07,455 (evaluate_mcd:171) INFO: opencpop_2092003415 6.0695
2025-01-15 17:18:07,500 (evaluate_mcd:171) INFO: opencpop_2086003208 8.5827
2025-01-15 17:18:07,899 (evaluate_mcd:171) INFO: opencpop_2044001632 8.5917
2025-01-15 17:18:07,903 (evaluate_mcd:171) INFO: opencpop_2044001670 8.5936
2025-01-15 17:18:08,017 (evaluate_mcd:171) INFO: opencpop_2100003725 9.4714
2025-01-15 17:18:08,046 (evaluate_mcd:171) INFO: opencpop_2044001658 8.9968
2025-01-15 17:18:08,071 (evaluate_mcd:171) INFO: opencpop_2093003481 8.5516
2025-01-15 17:18:08,079 (evaluate_mcd:171) INFO: opencpop_2100003738 8.4939
2025-01-15 17:18:08,083 (evaluate_mcd:171) INFO: opencpop_2100003749 9.6619
2025-01-15 17:18:08,159 (evaluate_mcd:171) INFO: opencpop_2044001645 7.0017
2025-01-15 17:18:08,270 (evaluate_mcd:171) INFO: opencpop_2092003429 10.7316
2025-01-15 17:18:08,385 (evaluate_mcd:171) INFO: opencpop_2086003185 8.2134
2025-01-15 17:18:08,405 (evaluate_mcd:171) INFO: opencpop_2092003416 8.2612
2025-01-15 17:18:08,442 (evaluate_mcd:171) INFO: opencpop_2086003209 7.3263
